1645241,Lagniappe Homecare Alexandria,"3130 Jackson Street , ",LA,Alexandria,71301,Alexandria,318-442-6435,a@a.com,Not Using
1644996,Bunkie HomeCare,1123 Shirley Road ,LA,Bunkie,71322,Alexandria,3183463312,a@a.com,Not Using
1625250,United Home Care-Alice,2041 E Main St. Suite 400,TX,Alice,78332,Alice Micropolitan Statistical Area,(361) 664-8908,a@a.com,Not Using
1644033,"First Home Healthcare, LLC","308 E. 2nd St. Ste D , ",Texas ,Alice,78332,Alice Micropolitan Statistical Area,361-355-8661,a@a.com,Not Using
1642459,A DOSE OF CARE HOME HEALTH,1481 S. FLOURNOY RD STE. 125 ,TX,Alice,78332,Alice Micropolitan Statistical Area,361-396-4208,homehealthdoseofcare@yahoo.com,Not Using
1620157,High plains senior care-Amarillo,1800 S. Washington Ste 115,TX,Amarillo,79102,Amarillo,806 355 1899,suzieweaver@hpscgroup.com,Freemium
1620033,Home Care Connections of Amarillo,3131 Bell Street Suite 211,TX ,Amarillo,79106,Amarillo,877 456 1202,a@a.com,Freemium
1620031,Accolade Home Care-Amarillo,1934 Medi Park Drive,TX,Amarillo,79106,Amarillo,806 352 3900,.,Freemium
1621193,Enhabit OF CENTRAL OKLAHOMA - ARDMORE,2007 North Commerce Street Suite 250,OK,Ardmore,73401,Ardmore Micropolitan Statistical Area,580 223 5512,,Freemium
1618588,Mays Housecall Home Health Ardmore,1234 merrick dr,OK,Ardmore,73401,Ardmore Micropolitan Statistical Area,580-2268328,a@a.com,Freemium
1630445,"INTREPID USA HEALTHCARE SERVICES LBN NC HHA, INC-ELYRIA",1825 EAST 51ST ,OH,Ashtabula,44004,Ashtabula,4409924608,a@a.com,Not Using
1621537,ADVANCED HOME HEALTH SERVICES-BASTROP ,105 N Hasler Blvd Ste B,TX ,Bastrop ,78155,Austin-Round Rock,512 308 9233,a@a.com,Not Using
1618746,B18 - Enhabit OF CENTRAL TEXAS,815 HIGHWAY 71 WEST,TX,-,78602,Austin-Round Rock,512 321 3382,,Not Using
1621395,Progressive Home Health-Buda,691 E OVERLOOK MOUNTAIN RD,TX,Buda,78610,Austin-Round Rock,512 312 5222,a@a.com,Not Using
1621401,PAM Health at Home Buda,825  N Main Street Suite 140 ,TX,Buda,78610,Austin-Round Rock,512 295 7000,a@c.com,Order360 Lite
1620371,Abiding Home Health of Cedar Park,"715 Discovery Blvd,Ste 511 ",TX ,"Cedar Park,",78613,Austin-Round Rock,512 259 8444,a@a.com,Order360 Lite
1620079,Enhabit - FREDERICKSBURG,108 trailmoore suite1,TX,Fredericksburg,78624,Austin-Round Rock,830 990 2423,,Not Using
1620384,Methodist Hill Country Homecare at Home,"1020,S State Highway 16,",TX,-,78624,Austin-Round Rock,8309971336,a@a.com,Order360 Lite
1623408,GTN-Enhabit,285 SE Inner Loop #108 ,TX,Georgetown,78626,Austin-Round Rock,512-763-1393 ,,Not Using
1630678,At Home Healthcare Georgetown,3010 Williams Dr. #171,,,78628,Austin-Round Rock,512 212 1943,lgarcia@athomehealth.org,Not Using
1629192,"Texas Home Health Group Of Taylor, Llc DBA Accentcare",567 Chris Kelley Blvd Ste 201,Texas,Hutto ,78634,Austin-Round Rock,512-755-8005,EVADEGOLLDO@ACCENTCARE.COM,Not Using
1621404,"JOL Healthcare, INC","1300 Dacy Ln., Ste 150",TX,Kyle,78640,Austin-Round Rock,512 786 4198,lynanne.shaffer@jolhc.com,Not Using
1623302,TEXAS HOME HEALTH MARBLE FALLS,1100 Mission Hills Dr Ste 200,TX,Marble Falls,78654,Austin-Round Rock,8307988272,abc@abc.com,Not Using
1618753,PRE - Enhabit OF CENTRAL TEXAS ,1002 Marble Heights Dr. Suite B,TX,Marble Falls,78654,Austin-Round Rock,830 693 2657,,Not Using
1621589,Elara Caring - Round Rock,"1717 North IH-35, Suite 210,",TX,Round Rock,78664,Austin-Round Rock,512 246 1451,a@a.com,Not Using
1621420,"Apicon Home Health Agency,Inc.",1850 Round Rock Avenue ,TX,Round Rock,78681,Austin-Round Rock,512 249 0899,a@a.com,Order360 Full
1620543,Accolade Home Care–Round Rock,1611 Chisholm Trail Suite 450                 ,TX,Round Rock,78681,Austin-Round Rock,512 238 6000,a@a.com,Not Using
1644513,Embrace Home Health – Austin,"1524 South IH 35 STE 342,",TX ,Austin,78704,Austin-Round Rock,512-580-3709,a@a.com,Not Using
1624896,"Homecare Dimensions, Inc.-Austin","8107 SPRINGDALE RD SUITE 110 , ",TX ,Austin,78724,Austin-Round Rock,2106962626,abc@abc.com,Not Using
1620217,Kindred at Home-Austin,3307 Northland Dr,TX,Austin,78731,Austin-Round Rock,512 342 0331,a@a.com,Freemium
1621415,Texas Home Health Skilled Services LP-Austin,3520 Executive Center Drive Suite G100,TX,Austin,78731,Austin-Round Rock,512 343 9690,.,Freemium
1618731,AUS - Enhabit OF AUSTIN DBA AUSTIN HOME HEALTH,3410 Far West Blvd. Ste.265,TX,Austin,78731,Austin-Round Rock,512 339 1023,,Freemium
1623346,Brookdale Home Health-Austin,"3636 EXECUTIVE CENTER DR BLD 8, STE 216 , ",TX,Austin,78731,Austin-Round Rock,5123721595,cfuller1@brookdale.com,Freemium
1622205,Longhorn Health Solutions-Austin,"11310 West Highway 290 , ",TX,Austin,78737,Austin-Round Rock,877 394 1860,.,Not Using
1621469,Texas Acceptance Home Healthcare,"10711 Burnet Road, STE 304",TX,Austin,78758,Austin-Round Rock,512 219 0233,.,Freemium
1618761,A17 - Enhabit OF CENTRAL TEXAS ,8920 Business Park Drive Suite 200 ,TX,,78758,Austin-Round Rock,512 339 1023,,Not Using
1622373,Capitol Home Health-Austin,"9015 Mountain Ridge Drive Ste. 210 , ",TX,Austin,78759,Austin-Round Rock,512 467 6900,.,Freemium
1622211,"Halcyon Home, LLC","8133 Mesa Drive Ste. 200 , ",TX,Austin,78759,Austin-Round Rock,512 815 9009,.,Not Using
1624942,Nursing Services and Consultants of Laredo,114 Railroad Avenue,TX,Benavides,78341,Benavides Micropolitan Statistical Area,361-256-4400,a@a.com,Order360 Lite
1623055,"APC Home Health Services, Inc. Harligen",1659 Sam Houston St ,TX ,Harligen ,78550,Brownsville–Harlingen,956 428 8301,a@a.com,Not Using
1618749,BRN - Enhabit OF WEST TEXAS DBA  ,104 S. BROADWAY,TX,BROWNWOOD       ,76801,Brownwood Micropolitan Statistical Area,325 646 5565,,Not Using
1618486,Guardian  Healthwise Home Health Care Bryan,1411 Memorial Drive,TX,Bryan,77802,Bryan-College Station,979 774 7770,,Not Using
1627258,Texas Home Health - Brenham,"526 W. Main , ",,,77833,Bryan-College Station,(979) 830-0105,challett@accentcare.com,Not Using
1641546,Allumine Home Care,4030 Hwy 6 South Ste 350,TX,College Station,77845,Bryan-College Station,(979) 704-6684,sydney@alluminehealth.com,Not Using
1620324,Enhabit - CARLSBAD,220 S Canal St Ste A,NM,Carlsbad,88220,Carlsbad Micropolitan Statistical Area,575 887 6050,,Not Using
1648951,Home and Care,"145 S. Durbin St, Ste 105 ",WY ,Casper ,82601,Casper,307-333-4574,a@a.com,Not Using
1644416,Rocky Mountain Therapy Casper,2546 East 2nd street Building #500,WY,Casper,82609,Casper,307-577-5204,a@a.com,Not Using
1626244,Option Care-Vernon Hills,"544 Lakeview Pkwy Suite 200S, , ",IL ,Vernon Hills,60061,Chicago-Naperville-Elgin,312-940-2500,a@a.com,Not Using
1629836,"Independence Plus,Inc","800 Jorie Blvd., Suite 100 ",IL,Oak Brook,60523,Chicago-Naperville-Elgin,(708) 366-4500,a@a.com,Not Using
